0,1.83
0.02,26.81126726
0.04,58.4423111
0.06,82.75259742
0.08,95.05407991
0.1,103.0563978
0.12,109.6147705
0.14,113.5051357
0.16,116.2115455
0.18,117.5931183
0.2,117.7409883
0.22,117.0396404
0.24,115.8561616
0.26,113.828893
0.28,111.0186846
0.3,106.1653256
0.32,83.49837232
0.34,51.95201638
0.36,23.58329265
0.38,9.699178816
0.4,3.338591034
0.42,-0.24290535
0.44,-2.514354524
0.46,-3.859878945
0.48,-4.65647195
0.5,-4.975852716
0.52,-5.131234533
0.54,-4.91813258
0.56,-4.658245637
0.58,-4.343460289
0.6,-4.028689348
0.62,-3.713773149
0.64,-3.477770934
0.66,-3.240959502
0.68,-2.933926621
0.7,-2.78608007
0.72,-2.455443635
0.74,-2.165478106
0.76,-1.828627266
0.78,-1.518704855
0.8,-1.366815633
0.82,-1.038925106
0.84,-0.766515066
0.86,-0.576061909
0.88,-0.256830762
0.9,0.05714124
0.92,0.37264123
0.94,0.691131282
0.96,0.833938562
0.98,1.267090805
